prod_id,prod_name,category,subcategory,color,size,weight,quantity,sold,price,currency,price_discount,rating_count,avg_rating,location,artisan_name,description
104,Ceramic Coaster,Ceramics & Pottery,Home Decor,Multicolor,One Size,0.44,37,31,55,EGP,43,69,4.92,Aswan,Mostafa Ibrahim,This handcrafted ceramic coaster features a lively multicolor design that adds a playful touch to any table. Its durable ceramic build ensures both functionality and style.
105,Pottery Coaster,Ceramics & Pottery,Home Decor,Multicolor,One Size,0.76,9,67,55,EGP,42,4,3.75,Cairo,Omar El-Sayed,"Featuring a vibrant multicolor pattern, this pottery coaster is crafted from quality ceramics for everyday use. Its playful design and sturdy construction help protect your surfaces in style."
106,Ceramic Vase,Ceramics & Pottery,Home Decor,Blue,One Size,1.71,46,54,360,EGP,324,16,3.57,Luxor,Mariam Said,"This elegant ceramic vase, adorned in a soothing blue finish, is handcrafted from high-quality ceramics. Its timeless design and durable material make it a perfect accent piece."
107,Pottery Cup,Ceramics & Pottery,Drinkware,Brown,One Size,0.31,43,74,150,EGP,135,24,4.74,Luxor,Mariam Said,"Made from fine ceramics, this brown pottery cup features a rustic design with a smooth finish. Its durable construction and earthy tone make it a charming addition to any kitchen."
108,3D Tableau Tut-Ankh-Amoon,Wood,Home Decor,Wood,50*40 cm,2.35,45,55,975,EGP,893,80,3.45,Giza,Fatima Hassan,"Expertly crafted from quality wood, this 3D tableau features the iconic Tut-Ankh-Amoon design with intricate details. Its dimensional artistry and durable construction make it a captivating decorative piece."
109,3D Tableau pharaonic statue,Wood,Home Decor,Wood,34*24 cm,2.68,32,16,535,EGP,496,2,4.93,Luxor,Mariam Said,"Carved from fine wood, this 3D tableau showcases a pharaonic statue with detailed craftsmanship. Its rich texture and classic design capture the essence of ancient artistry."
110,3D Tableau Nefertiti,Wood,Home Decor,Wood,34*24 cm,2.06,11,37,535,EGP,442,92,3.02,Alexandria,Ahmed Ali,"Crafted from quality wood, this 3D tableau features a stunning depiction of Nefertiti with intricate detailing. Its timeless design and artisan craftsmanship make it a standout piece."
111,Wooden Tissue holder,Wood,Home Decor,Wood,One Size,0.95,13,23,155,EGP,127,32,4.94,Alexandria,Samir Fathy,"This wooden tissue holder is crafted from quality wood and offers a sleek, minimalist design. Its functional form and natural finish add a charming touch to any space."
112,Wooden Tea Box,Wood,Home Decor,Wood,One Size,0.58,12,68,260,EGP,233,91,3.09,Giza,Khaled Mostafa,"Handcrafted from fine wood, this tea box features a traditional design with a natural finish. Its sturdy construction and elegant detailing make it a perfect keepsake for tea lovers."
113,Wooden Rolling pin,Wood,Home Decor,Wood,One Size,2.86,16,97,155,EGP,133,84,4.78,Luxor,Mariam Said,"Crafted from high-quality wood, this wooden rolling pin offers a classic design with a smooth finish. Its durable material and timeless craftsmanship make it an essential kitchen tool."
114,Wooden Shoehorn,Wood,Home Decor,Wood,One Size,0.73,38,69,65,EGP,56,24,4.06,Luxor,Mariam Said,"This wooden shoehorn is made from quality wood, providing a sturdy and elegant tool for everyday use. Its minimalist design and natural finish ensure both functionality and style."
115,Wooden Tray,Wood,Home Decor,Wood,35*23 cm,1.06,37,85,1335,EGP,1200,12,4.99,Luxor,Mariam Said,"Handcrafted from premium wood, this tray features a refined design with ample space for serving. Its durable construction and natural finish make it a versatile accessory."
116,Wooden Box,Wood,Home Decor,Wood,13*18 cm,0.81,27,10,965,EGP,890,50,3.15,Cairo,Omar El-Sayed,"This intricately crafted wooden box, made from quality wood, offers a compact design with detailed workmanship. Its elegant finish and durable material make it perfect for storing small treasures."
117,Wooden Coaster,Wood,Home Decor,Wood,9.4*9.4 cm,0.56,28,15,205,EGP,160,35,4.11,Giza,Khaled Mostafa,"Crafted from quality wood, this wooden coaster features a simple yet elegant design. Its durable material and natural finish make it a perfect addition to any home decor."
